Sender ID,Operator/Gateway,Description,State,Date
SoftLabInc,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
SMScentral,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
GetSpeed,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Emerald,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Namuna,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Kavya,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
PPM,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
RastraSewak,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Rajdhani,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
FAN,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
DDCMustang,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
DDCTTM,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
AeromaX,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
ARMANNEPAL,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Target,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
TERHATHUM,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Access,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
VITAL,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
KtmCity,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Liberty,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
AVIATOR,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
BKTTyre,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
ShantiSudha,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Moonsun,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
CSRCandNLRF,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
BluebirdOve,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Santwona,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
PEROUDA,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Unnati,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
FabIndia,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
KuberSoftec,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
DDCNaparasi,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
ISAEPFNepal,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
DDCTanahun,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
Aakarshan,Default [ AXIATA ],Approved,None,2016-09-12 12:04:14
